BR,run,Weeks,Cc,Cm,Ac
0,1,1,20,20,NA
0,1,2,20,20,NA
0,1,3,25,21,NA
0,1,4,142,118,NA
0,1,5,145,175,NA
0,1,6,104,219,NA
0,1,7,136,108,NA
0,1,8,127,178,NA
0,1,9,31,295,0
0,1,10,23,275,10
0,1,11,23,146,69
0,1,12,6,113,60
0,1,13,8,5,286
0,1,14,0,36,221
0,1,15,NA,77,247
0,1,16,NA,118,127
0,1,17,NA,140,26
0,1,18,NA,159,8
0,1,19,NA,220,46
0,1,20,NA,215,40
0,1,21,NA,234,41
0,1,22,NA,182,73
0,1,23,NA,170,75
0,1,24,NA,126,95
0,1,25,NA,164,146
0,1,26,NA,105,95
0,1,27,NA,133,177
0,1,28,NA,110,116
0,1,29,NA,105,198
0,1,30,NA,74,226
0,1,31,NA,92,258
0,1,32,NA,138,159
0,1,33,NA,165,126
0,1,34,NA,151,105
0,1,35,NA,150,164
0,1,36,NA,134,132
0,1,37,NA,121,150
0,1,38,NA,119,158
0,1,39,NA,116,171
0,1,40,NA,120,140
0,1,41,NA,138,154
0,1,42,NA,110,142
0,1,43,NA,145,132
0,1,44,NA,88,167
0,1,45,NA,139,172
0,1,46,NA,114,148
0,1,47,NA,136,162
0,1,48,NA,104,135
0,1,49,NA,118,222
0,1,50,NA,112,151
0,1,51,NA,120,192
0,1,52,NA,59,156
0,1,53,NA,133,256
0,1,54,NA,38,140
0,1,55,NA,129,165
0,1,56,NA,109,145
0,1,57,NA,NA,NA
0,1,58,NA,NA,NA
0,1,59,NA,NA,NA
0,1,60,NA,NA,NA
0,1,61,NA,NA,NA
0,1,62,NA,NA,NA
0,1,63,NA,NA,NA
0,1,64,NA,NA,NA
0,1,65,NA,NA,NA
0,1,66,NA,NA,NA
0,1,67,NA,NA,NA
0,1,68,NA,NA,NA
0,1,69,NA,NA,NA
0,1,70,NA,NA,NA
0,1,71,NA,NA,NA
0,1,72,NA,NA,NA
0,1,73,NA,NA,NA
0,1,74,NA,NA,NA
0,1,75,NA,NA,NA
0,1,76,NA,NA,NA
0,1,77,NA,NA,NA
0,1,78,NA,NA,NA
0,1,79,NA,NA,NA
0,1,80,NA,NA,NA
0,1,81,NA,NA,NA
0,1,82,NA,NA,NA
0,1,83,NA,NA,NA
0,1,84,NA,NA,NA
0,1,85,NA,NA,NA
0,1,86,NA,NA,NA
0,1,87,NA,NA,NA
0,1,88,NA,NA,NA
0,1,89,NA,NA,NA
0,1,90,NA,NA,NA
0,1,91,NA,NA,NA
0,1,92,NA,NA,NA
0,1,93,NA,NA,NA
0,1,94,NA,NA,NA
0,1,95,NA,NA,NA
0,1,96,NA,NA,NA
0,1,97,NA,NA,NA
0,1,98,NA,NA,NA
0,1,99,NA,NA,NA
0,1,100,NA,NA,NA
0,1,101,NA,NA,NA
0,2,1,20,20,NA
0,2,2,20,20,NA
0,2,3,24,16,NA
0,2,4,145,137,NA
0,2,5,157,148,NA
0,2,6,171,142,NA
0,2,7,171,151,NA
0,2,8,147,202,NA
0,2,9,68,206,0
0,2,10,54,189,12
0,2,11,28,83,87
0,2,12,21,102,107
0,2,13,6,70,101
0,2,14,4,93,172
0,2,15,7,119,68
0,2,16,1,140,138
0,2,17,2,170,85
0,2,18,0,204,80
0,2,19,NA,165,99
0,2,20,NA,151,90
0,2,21,NA,119,106
0,2,22,NA,126,128
0,2,23,NA,94,106
0,2,24,NA,130,174
0,2,25,NA,125,114
0,2,26,NA,144,192
0,2,27,NA,132,195
0,2,28,NA,112,102
0,2,29,NA,131,130
0,2,30,NA,112,122
0,2,31,NA,191,141
0,2,32,NA,141,123
0,2,33,NA,230,63
0,2,34,NA,171,81
0,2,35,NA,221,53
0,2,36,NA,156,106
0,2,37,NA,197,68
0,2,38,NA,161,115
0,2,39,NA,144,126
0,2,40,NA,120,118
0,2,41,NA,95,158
0,2,42,NA,71,198
0,2,43,NA,100,108
0,2,44,NA,101,143
0,2,45,NA,144,153
0,2,46,NA,149,81
0,2,47,NA,154,109
0,2,48,NA,188,83
0,2,49,NA,159,98
0,2,50,NA,153,82
0,2,51,NA,135,206
0,2,52,NA,88,175
0,2,53,NA,168,173
0,2,54,NA,43,85
0,2,55,NA,122,42
0,2,56,NA,115,190
0,2,57,NA,NA,NA
0,2,58,NA,NA,NA
0,2,59,NA,NA,NA
0,2,60,NA,NA,NA
0,2,61,NA,NA,NA
0,2,62,NA,NA,NA
0,2,63,NA,NA,NA
0,2,64,NA,NA,NA
0,2,65,NA,NA,NA
0,2,66,NA,NA,NA
0,2,67,NA,NA,NA
0,2,68,NA,NA,NA
0,2,69,NA,NA,NA
0,2,70,NA,NA,NA
0,2,71,NA,NA,NA
0,2,72,NA,NA,NA
0,2,73,NA,NA,NA
0,2,74,NA,NA,NA
0,2,75,NA,NA,NA
0,2,76,NA,NA,NA
0,2,77,NA,NA,NA
0,2,78,NA,NA,NA
0,2,79,NA,NA,NA
0,2,80,NA,NA,NA
0,2,81,NA,NA,NA
0,2,82,NA,NA,NA
0,2,83,NA,NA,NA
0,2,84,NA,NA,NA
0,2,85,NA,NA,NA
0,2,86,NA,NA,NA
0,2,87,NA,NA,NA
0,2,88,NA,NA,NA
0,2,89,NA,NA,NA
0,2,90,NA,NA,NA
0,2,91,NA,NA,NA
0,2,92,NA,NA,NA
0,2,93,NA,NA,NA
0,2,94,NA,NA,NA
0,2,95,NA,NA,NA
0,2,96,NA,NA,NA
0,2,97,NA,NA,NA
0,2,98,NA,NA,NA
0,2,99,NA,NA,NA
0,2,100,NA,NA,NA
0,2,101,NA,NA,NA
0,3,1,20,20,NA
0,3,2,20,20,NA
0,3,3,23,20,NA
0,3,4,129,140,NA
0,3,5,135,178,NA
0,3,6,137,181,NA
0,3,7,76,184,NA
0,3,8,79,284,NA
0,3,9,37,234,0
0,3,10,51,245,11
0,3,11,14,239,26
0,3,12,1,170,44
0,3,13,0,149,115
0,3,14,NA,79,137
0,3,15,NA,94,164
0,3,16,NA,95,201
0,3,17,NA,94,176
0,3,18,NA,119,175
0,3,19,NA,128,83
0,3,20,NA,147,128
0,3,21,NA,153,70
0,3,22,NA,128,85
0,3,23,NA,138,111
0,3,24,NA,127,136
0,3,25,NA,141,185
0,3,26,NA,117,142
0,3,27,NA,153,165
0,3,28,NA,121,110
0,3,29,NA,101,149
0,3,30,NA,107,236
0,3,31,NA,157,206
0,3,32,NA,155,176
0,3,33,NA,128,163
0,3,34,NA,142,135
0,3,35,NA,123,186
0,3,36,NA,168,131
0,3,37,NA,131,150
0,3,38,NA,139,136
0,3,39,NA,140,173
0,3,40,NA,87,147
0,3,41,NA,97,230
0,3,42,NA,93,162
0,3,43,NA,120,179
0,3,44,NA,130,142
0,3,45,NA,145,141
0,3,46,NA,140,136
0,3,47,NA,143,141
0,3,48,NA,131,152
0,3,49,NA,126,162
0,3,50,NA,110,186
0,3,51,NA,125,250
0,3,52,NA,93,119
0,3,53,NA,147,298
0,3,54,NA,36,92
0,3,55,NA,81,184
0,3,56,NA,71,242
0,3,57,NA,NA,NA
0,3,58,NA,NA,NA
0,3,59,NA,NA,NA
0,3,60,NA,NA,NA
0,3,61,NA,NA,NA
0,3,62,NA,NA,NA
0,3,63,NA,NA,NA
0,3,64,NA,NA,NA
0,3,65,NA,NA,NA
0,3,66,NA,NA,NA
0,3,67,NA,NA,NA
0,3,68,NA,NA,NA
0,3,69,NA,NA,NA
0,3,70,NA,NA,NA
0,3,71,NA,NA,NA
0,3,72,NA,NA,NA
0,3,73,NA,NA,NA
0,3,74,NA,NA,NA
0,3,75,NA,NA,NA
0,3,76,NA,NA,NA
0,3,77,NA,NA,NA
0,3,78,NA,NA,NA
0,3,79,NA,NA,NA
0,3,80,NA,NA,NA
0,3,81,NA,NA,NA
0,3,82,NA,NA,NA
0,3,83,NA,NA,NA
0,3,84,NA,NA,NA
0,3,85,NA,NA,NA
0,3,86,NA,NA,NA
0,3,87,NA,NA,NA
0,3,88,NA,NA,NA
0,3,89,NA,NA,NA
0,3,90,NA,NA,NA
0,3,91,NA,NA,NA
0,3,92,NA,NA,NA
0,3,93,NA,NA,NA
0,3,94,NA,NA,NA
0,3,95,NA,NA,NA
0,3,96,NA,NA,NA
0,3,97,NA,NA,NA
0,3,98,NA,NA,NA
0,3,99,NA,NA,NA
0,3,100,NA,NA,NA
0,3,101,NA,NA,NA
0,4,1,19,19,NA
0,4,2,20,20,NA
0,4,3,29,19,NA
0,4,4,130,118,NA
0,4,5,74,189,NA
0,4,6,93,150,NA
0,4,7,83,108,NA
0,4,8,12,51,NA
0,4,9,2,329,0
0,4,10,8,173,10
0,4,11,14,170,35
0,4,12,0,180,17
0,4,13,NA,143,16
0,4,14,NA,155,24
0,4,15,NA,120,19
0,4,16,NA,131,13
0,4,17,NA,169,49
0,4,18,NA,158,36
0,4,19,NA,NA,NA
0,4,20,NA,NA,NA
0,4,21,NA,NA,NA
0,4,22,NA,NA,NA
0,4,23,NA,NA,NA
0,4,24,NA,NA,NA
0,4,25,NA,NA,NA
0,4,26,NA,NA,NA
0,4,27,NA,NA,NA
