rec,theta,rho,don,c_mean,c_sd,dd_est,dd_sd,p_value1,p_value2
Tridentiger_trigonocephalus,0,0.3891304199084725,Acentrogobius_pflaumii,0.32773774005532,0.042042331723165884,-0.006519762996749425,0.02094664763982957,5.494172966906486e-175,0.7559439440121106
Tridentiger_trigonocephalus,0,0.3891304199084725,Sebastes_inermis,0.004379041281106318,0.0077075791596768195,0.01700814823905295,0.0036396942313925863,1.9078573552445829e-13,5.576604874376422e-6
Acentrogobius_pflaumii,1,0.3696220338781393,Istigobius_hoshinonis,0.06644683479701176,0.010389102645307955,0.01271131298125963,0.004288821288871147,1.5484451326532766e-159,0.003421090172078769
Sebastes_inermis,14,0.7145454004005009,Halichoeres_poecilopterus,0.15577370323789272,0.4523624542262133,-0.014554295809799882,0.19585441257030287,2.5528997258483436e-6,0.9408380673057062
Sebastes_inermis,14,0.7145454004005009,Istigobius_campbelli,0.4362333690193935,0.578488670572669,-0.007036073545435441,0.2504649218374908,4.2853542643284875e-21,0.9776173158265222
Sebastes_inermis,14,0.7145454004005009,Tridentiger_trigonocephalus,-0.1019155107286753,0.21840132779051552,-0.1356937365275433,0.0940621133808529,4.4780668126534834e-10,0.15073012060950203
Pseudolabrus_sieboldi,2,0.5940217925704195,Acanthopagrus_schlegelii,0.22786196289720967,0.04350384765311979,-0.11648806075468635,0.013380150031759568,1.8280019115594924e-142,1.4327794923361586e-15
Pseudolabrus_sieboldi,2,0.5940217925704195,Acentrogobius_pflaumii,-0.030953731574169085,0.02707598899671058,-0.03795773014536938,0.009445655861232412,5.295264572192338e-37,8.403335305122095e-5
Pseudolabrus_sieboldi,2,0.5940217925704195,Pseudoblennius_cottoidae,0.18932572190043262,0.022890863566765663,-0.027404399662993927,0.008076053136985327,7.134274429481872e-180,8.387647710945411e-4
Pseudolabrus_sieboldi,2,0.5940217925704195,Rudarius_ercodes,-0.08448089771612552,0.0409805252664559,0.14184503683145863,0.010806682993915026,1.3647978598646176e-71,1.6542360723231503e-28
Pseudolabrus_sieboldi,2,0.5940217925704195,Takifugu_poecilonotus,0.04598116004284319,0.02953168791479158,-0.09939247035456211,0.007975770714638269,1.238605581466504e-53,1.6651280304944667e-26
Rudarius_ercodes,8,0.22317779167842564,Acanthopagrus_schlegelii,0.3515506791626873,0.1819969294166327,-0.8055688280100154,0.1096743511001381,3.075870397351243e-68,5.472084993043875e-12
Rudarius_ercodes,8,0.22317779167842564,Istigobius_campbelli,0.013863924680592433,0.025985958784860676,-0.06247100176183402,0.01711881794151312,2.3208043777142163e-12,3.376141376862027e-4
