BR,rho,rec_sp,don_sp,sensitivity
0.2,0.09,Cm,Cc,0.93518600904136
0.2,0.09,Cm,Ac,0.9726680679762966
0.2,0.09,Cm,both,0.9789347496609088
0.2,0.09,Cm,Cc,0.9480085594555746
0.2,0.09,Cm,Ac,1.0040056737342784
0.2,0.09,Cm,both,1.034370241913135
0.2,0.09,Cm,Cc,0.9410508724855375
0.2,0.09,Cm,Ac,0.994352322016892
0.2,0.09,Cm,both,1.00965014546856
0.2,0.09,Cm,Cc,0.9060858918789159
0.2,0.09,Cm,Ac,0.9497930024094788
0.2,0.09,Cm,both,0.893933538619505
0.2,0.09,Cm,Cc,0.9179086297023531
0.2,0.09,Cm,Ac,0.9801590957194839
0.2,0.09,Cm,both,0.9549594570124392
0.2,0.09,Cm,Cc,0.9286589954408735
0.2,0.09,Cm,Ac,0.9737369293259436
0.2,0.09,Cm,both,0.9495065982069716
0.2,0.09,Cm,Cc,0.9567401462117399
0.2,0.09,Cm,Ac,0.9777315704711285
0.2,0.09,Cm,both,0.9835372680276466
0.2,0.09,Cm,Cc,0.9526909594877289
0.2,0.09,Cm,Ac,0.9899783219622396
0.2,0.09,Cm,both,1.0208346934890211
0.2,0.09,Cm,Cc,0.9255238099554273
0.2,0.09,Cm,Ac,0.9715849409832933
0.2,0.09,Cm,both,0.9350872911255008
0.2,0.09,Cm,Cc,0.9093365598704641
0.2,0.09,Cm,Ac,0.9670861431044322
0.2,0.09,Cm,both,0.9151454951744946
0.2,0.09,Cm,Cc,0.952773788180617
0.2,0.09,Cm,Ac,0.998923225972526
0.2,0.09,Cm,both,1.0303201731810607
0.2,0.09,Cm,Cc,0.9407741622019696
0.2,0.09,Cm,Ac,0.9762923961203595
0.2,0.09,Cm,both,0.9817842562745547
0.2,0.09,Cm,Cc,0.9136473981219172
0.2,0.09,Cm,Ac,0.9710967023727264
0.2,0.09,Cm,both,0.9459006971901669
0.2,0.09,Cm,Cc,0.9741244306504515
0.2,0.09,Cm,Ac,0.9866243928742553
0.2,0.09,Cm,both,1.0422307011575047
0.2,0.09,Cm,Cc,0.9687676168627358
0.2,0.09,Cm,Ac,0.9824516305541275
0.2,0.09,Cm,both,1.0368033761046584
0.2,0.09,Cm,Cc,0.9188847335487771
0.2,0.09,Cm,Ac,0.9610616664579674
0.2,0.09,Cm,both,0.9334988692632454
0.2,0.09,Cm,Cc,0.9522338575843297
0.2,0.09,Cm,Ac,0.9943096106136883
0.2,0.09,Cm,both,1.0244198847242452
0.2,0.09,Cm,Cc,0.9543276672125854
0.2,0.09,Cm,Ac,0.9841307547793604
0.2,0.09,Cm,both,1.0027571518092553
0.2,0.09,Cm,Cc,0.9352930287222541
0.2,0.09,Cm,Ac,0.9823218858595006
0.2,0.09,Cm,both,0.975064861371757
0.2,0.09,Cm,Cc,0.9248181116274596
0.2,0.09,Cm,Ac,0.9759180697055765
0.2,0.09,Cm,both,0.9745639654811743
0.2,0.09,Cm,Cc,0.9430692959949164
0.2,0.09,Cm,Ac,0.9861890647890735
0.2,0.09,Cm,both,0.9817411847733698
