var,Tp,E,rho,mae,rmse
Acanthopagrus_schlegelii,1,10,0.3880412766049665,0.06868346089270826,0.1190427571386955
Acentrogobius_pflaumii,1,7,0.3285474308542254,0.12008571718156284,0.1644804962348454
Cryptocentrus_filifer,1,12,0.17164339941481094,0.10570975023580031,0.152016924693797
Ditrema_temmincki,1,11,0.40564597858221485,0.06688501679357,0.13404543721106005
Girella_punctata,1,12,0.5320203295764738,0.03392823170445396,0.06900811419982238
Halichoeres_poecilopterus,1,9,0.810622851594313,0.06327174305987777,0.11337811696443742
Halichoeres_tenuispinnis,1,8,0.7506875648472198,0.057854835054233944,0.10606537187763888
Hexagrammos_agrammus,1,11,0.4133274618561005,0.09419179526248714,0.16008855397490884
Hypodytes_rubripinnis,1,10,0.5617785226787908,0.06236991886733015,0.10970131177404252
Istigobius_campbelli,1,11,0.7775254768980547,0.07026795373799274,0.13180025404415743
Istigobius_hoshinonis,1,10,0.2518029766703624,0.1231569162451274,0.17426122496716306
Pagrus_major,1,12,0.44075544485312923,0.032700970365846724,0.08789605245394685
Petroscirtes_breviceps,1,11,0.5497360046507781,0.044888657812983734,0.10616503513371409
Pseudoblennius_cottoidae,1,10,0.6862103665443349,0.07405221480494778,0.12875470830856428
Pseudolabrus_sieboldi,1,11,0.7644747798094327,0.08934329699730485,0.12818776783245867
Pterogobius_zonoleucus,1,9,0.5641909147816262,0.027311570424813962,0.078502062196188993
Rudarius_ercodes,1,9,0.47657531834455646,0.034599721711423816,0.09454583854570063
Sebastes_inermis,1,6,0.3273444122832287,0.09304030314429329,0.14753486772185026
Stephanolepis_cirrhifer,1,11,0.3341051121701348,0.03793448589333618,0.10498783748730747
Takifugu_niphobles,1,12,0.4405174803262015,0.10230528673396905,0.14870920316115954
Takifugu_poecilonotus,1,12,0.31130926890018396,0.14881549378595121,0.19901640460808012
Trachurus_japonicus,1,12,0.6793064141054476,0.09262649208746004,0.14074193316757078
Tridentiger_trigonocephalus,1,9,0.30702072126310315,0.08738754906646568,0.13886448939757348
