Sp,Total,Obs
Tridentiger_trigonocephalus,1977.8333333333337,201
Acentrogobius_pflaumii,525.6666666666669,200
Sebastes_inermis,2190.6666666666674,198
Pseudolabrus_sieboldi,461.66666666666686,187
Rudarius_ercodes,645.1666666666665,184
Takifugu_poecilonotus,130.16666666666663,178
Acanthopagrus_schlegelii,201.1666666666666,161
Halichoeres_poecilopterus,886.1666666666666,135
Takifugu_niphobles,59.99999999999997,133
Halichoeres_tenuispinnis,1186.833333333333,131
Girella_punctata,1244.6666666666672,130
Trachurus_japonicus,10304.500000000004,117
Pterogobius_zonoleucus,1656.9999999999998,110
Pseudoblennius_cottoidae,82.66666666666663,97
Istigobius_hoshinonis,25.999999999999986,88
Istigobius_campbelli,53,84
Pagrus_major,184.83333333333337,84
Petroscirtes_breviceps,107.83333333333336,81
Ditrema_temmincki,132.8333333333333,80
Cryptocentrus_filifer,15.999999999999972,74
Hypodytes_rubripinnis,28.00000000000003,72
Hexagrammos_agrammus,25.333333333333346,71
Stephanolepis_cirrhifer,36.166666666666664,67
Hexagrammos_otakii,31.166666666666675,60
Epinephelus_awoara,21.333333333333314,58
Sebastiscus_marmoratus,16.16666666666665,57
Epinephelus_akaara,21.999999999999993,56
Suezichthys_gracilis,16.499999999999986,48
Semicossyphus_reticulatus,15.833333333333316,47
Chromis_notata.notata,14.66666666666665,44
Engraulis_japonicus,3913.666666666666,44
Lutjanus_ophuysenii,86.83333333333331,39
Plotosus_lineatus,1550.6666666666663,38
Upeneus_japonicus,14.999999999999995,38
Omobranchus_elegans,14.166666666666647,37
Dictyosoma_burgeri,7.333333333333323,35
Chaenogobius_gulosus,426.50000000000045,26
Rhyncopelates_oxyrhynchus,27.499999999999975,26
Siganus_fuscescens,222.99999999999994,24
Sphyraena_pinguis,478.33333333333337,24
Sebastes_thompsoni,103.1666666666667,23
Oplegnathus_fasciatus,28.66666666666665,22
Paramonacanthus_japonicus,4.499999999999996,21
Hippocampus_coronatus,4.833333333333329,19
Sillago_japonica,3.999999999999998,19
Mugil_cephalus,24.666666666666657,18
Repomucenus_curvicornis,2.9999999999999973,16
Saurida_sp.,3.4999999999999973,16
Eviota_abax,3.1666666666666647,15
Gymnogobius_heptacanthus,35.99999999999999,15
Pleuronichthys_cornutus,2.8333333333333313,15
Parapristipoma_trilineatum,26.833333333333318,14
Paralichthys_olivaceus,2.333333333333331,13
Furcina_ishikawae,2.166666666666665,12
Sebastes_pachycephalus.pachycephalus,2.333333333333331,11
Choerodon_azurio,1.4999999999999984,9
Goniistius_quadricornis,1.4999999999999984,9
Parablennius_yatabei,1.4999999999999984,9
Lutjanus_russellii,2.166666666666664,8
Syngnathus_schlegeli,1.333333333333332,8
Scorpaenodes_littoralis,1.333333333333332,7
Apogon_semilineatus,4,6
Inegocia_japonica,1.1666666666666654,6
Sebastes_oblongus,0.999999999999999,6
Leiognathus_nuchalis,150.16666666666683,5
Pterogobius_elapoides,1.833333333333333,5
Thamnaconus_modestus,0.9999999999999989,5
Trimma_grammistes,2,5
Abudefduf_vaigiensis,1.5,4
Chaetodontoplus_septentrionalis,0.666666666666666,4
Platycephalus_sp..2,0.8333333333333325,4
Plecoglossus_altivelis,38.333333333333314,4
Sardinops_melanostictus,205.00000000000034,4
Stichaeus_nozawai,0.666666666666666,4
Takifugu_snyderi,0.9999999999999994,4
Chaetodon_modestus,0.49999999999999944,3
Dasyatis_akajei,0.49999999999999944,3
Goniistius_zonatus,0.49999999999999944,3
Parapercis_snyderi,0.49999999999999944,3
Pterois_lunulata,0.49999999999999944,3
Takifugu_pardalis,0.49999999999999944,3
Calliurichthys_japonicus,0.333333333333333,2
Favonigobius_gymnauchen,0.333333333333333,2
Inimicus_japonicus,0.333333333333333,2
Lateolabrax_japonicus,1.5000000000000016,2
Parapercis_sexfasciata,0.333333333333333,2
Scorpaena_miostoma,0.333333333333333,2
Equulites_rivulatus,5,1
Furcina_osimae,0.1666666666666665,1
Hyporhamphus_sajori,0.5,1
Istiblennius_enosimae,0.1666666666666665,1
Omobranchus_fasciolatoceps,0.1666666666666665,1
Oplegnathus_punctatus,0.1666666666666665,1
Petroscirtes_springeri,0.1666666666666665,1
Sagamia_geneionema,0.1666666666666665,1
Seriola_dumerili,0.1666666666666665,1
Terapon_jarbua,0.1666666666666665,1
Upeneus_tragula,0.1666666666666665,1
