"date","Dasyatis_akajei","Sardinops_melanostictus","Engraulis_japonicus","Plotosus_lineatus","Plecoglossus_altivelis","Saurida_sp.","Syngnathus_schlegeli","Hippocampus_coronatus","Mugil_cephalus","Hyporhamphus_sajori","Pterois_lunulata","Scorpaena_miostoma","Scorpaenodes_littoralis","Sebastiscus_marmoratus","Sebastes_thompsoni","Sebastes_inermis","Sebastes_oblongus","Sebastes_pachycephalus.pachycephalus","Inimicus_japonicus","Hypodytes_rubripinnis","Platycephalus_sp..2","Inegocia_japonica","Hexagrammos_otakii","Hexagrammos_agrammus","Furcina_osimae","Furcina_ishikawae","Pseudoblennius_cottoidae","Lateolabrax_japonicus","Epinephelus_akaara","Epinephelus_awoara","Apogon_semilineatus","Seriola_dumerili","Trachurus_japonicus","Leiognathus_nuchalis","Equulites_rivulatus","Lutjanus_ophuysenii","Lutjanus_russellii","Parapristipoma_trilineatum","Acanthopagrus_schlegelii","Pagrus_major","Sillago_japonica","Upeneus_tragula","Upeneus_japonicus","Chaetodon_modestus","Chaetodontoplus_septentrionalis","Goniistius_zonatus","Goniistius_quadricornis","Ditrema_temmincki","Chromis_notata.notata","Abudefduf_vaigiensis","Terapon_jarbua","Rhyncopelates_oxyrhynchus","Oplegnathus_fasciatus","Oplegnathus_punctatus","Girella_punctata","Choerodon_azurio","Semicossyphus_reticulatus","Pseudolabrus_sieboldi","Suezichthys_gracilis","Halichoeres_poecilopterus","Halichoeres_tenuispinnis","Dictyosoma_burgeri","Stichaeus_nozawai","Parapercis_snyderi","Parapercis_sexfasciata","Parablennius_yatabei","Istiblennius_enosimae","Omobranchus_fasciolatoceps","Omobranchus_elegans","Petroscirtes_springeri","Petroscirtes_breviceps","Calliurichthys_japonicus","Repomucenus_curvicornis","Trimma_grammistes","Eviota_abax","Chaenogobius_gulosus","Sagamia_geneionema","Gymnogobius_heptacanthus","Pterogobius_zonoleucus","Pterogobius_elapoides","Istigobius_campbelli","Istigobius_hoshinonis","Cryptocentrus_filifer","Acentrogobius_pflaumii","Tridentiger_trigonocephalus","Favonigobius_gymnauchen","Siganus_fuscescens","Sphyraena_pinguis","Paralichthys_olivaceus","Pleuronichthys_cornutus","Rudarius_ercodes","Thamnaconus_modestus","Stephanolepis_cirrhifer","Paramonacanthus_japonicus","Takifugu_pardalis","Takifugu_snyderi","Takifugu_poecilonotus","Takifugu_niphobles"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,0,0.666666666666667,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,7,0,0,0.333333333333333,0.666666666666667,0.666666666666667,10,0,0,0,0,0.333333333333333,1,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,2.33333333333333,0,0,0,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,0,4,7.33333333333333,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.666666666666667,0.666666666666667
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,2.33333333333333,4.33333333333333,0,0,0,0,0,0.666666666666667,0,1,0,0,0,0,1
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,2.66666666666667,5,0,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0.333333333333333
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66666666666667,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,5.33333333333333,5,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66666666666667,0,0,0,0.666666666666667,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,4.66666666666667,11.3333333333333,0,0,0,0,0,1.66666666666667,0,0,0,0,0,0,0.666666666666667
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0.666666666666667,0,0,0,1,0,0.333333333333333,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33333333333333,0,0.666666666666667,1,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0.333333333333333,1,6.66666666666667,14.6666666666667,0,0,0,0,0.333333333333333,1.33333333333333,0,0.333333333333333,0,0,0,0.666666666666667,0.333333333333333
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,0.666666666666667,0,0,0,1.66666666666667,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.666666666666667,0.333333333333333,0,0.333333333333333,1.33333333333333,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,6,9.33333333333333,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0.666666666666667,0.333333333333333
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0.666666666666667,1,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0.666666666666667,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,1.33333333333333,0,13.6666666666667,20.3333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0,2.33333333333333,1.33333333333333
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0.333333333333333,0,0,1.33333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.33333333333333,0,0,0,0,0,0,10.6666666666667,0,1,5.33333333333333,0,0.666666666666667,4.66666666666667,0.333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,10.3333333333333,9,0,0,0,0,0,2.33333333333333,0,0,0.333333333333333,0,0,1.33333333333333,1.33333333333333
